subject,n_components_percentage,n_components,epsilon,reconstruction_error_mse,reconstruction_error_mae,reconstruction_error_rmse,ssim,psnr,pca_time,projection_time,noise_addition_time,reconstruction_time
10,0.5,6,0.001,1708.2995312456,23.47390596519068,38.211225842693025,0.03002285468766664,-30.859037782606812,0.008060799998929724,0.00042210001265630126,1.9500002963468432e-05,4.508000565692782e-05
10,0.5,6,0.01,15.33854604701462,2.4490447877019523,3.6267322405939395,0.07634458134064352,-10.460284517401586,0.008060799998929724,0.00042210001265630126,9.499985026195645e-06,4.773999680764973e-05
10,0.5,6,0.1,0.20778889868600176,0.2745768692163712,0.43482241060061577,0.3736805191574172,7.709410067549105,0.008060799998929724,0.00042210001265630126,1.2699980288743973e-05,5.1700003677979114e-05
10,0.5,6,1.0,0.02665956546969739,0.07708873036307391,0.143102849326919,0.717444103468544,18.880224041690305,0.008060799998929724,0.00042210001265630126,7.099995855242014e-06,4.1200005216524e-05
10,0.5,6,5.0,0.02839517603686547,0.06548782826768006,0.14531286488756273,0.7008095856775672,19.904822641025085,0.008060799998929724,0.00042210001265630126,7.399998139590025e-06,4.121999954804778e-05
10,0.5,6,10.0,0.027449399942224968,0.06476105400644645,0.14326300117392235,0.7071901791560962,20.192732504560265,0.008060799998929724,0.00042210001265630126,6.700021913275123e-06,4.134000628255308e-05
10,0.5,6,20.0,0.027216476475657538,0.06401065914799671,0.14214242620546794,0.7085767886914078,20.564723666009495,0.008060799998929724,0.00042210001265630126,7.399998139590025e-06,4.080000799149275e-05
10,0.5,6,40.0,0.027117104210567365,0.06355596389821037,0.14160633220316554,0.7101958823831269,20.607618476256995,0.008060799998929724,0.00042210001265630126,6.600021151825786e-06,4.078000201843679e-05
10,0.5,6,80.0,0.0271856588439585,0.06373806702940844,0.1418403708532606,0.7094008275843885,20.59735369286142,0.008060799998929724,0.00042210001265630126,6.400019628927112e-06,4.067999543622136e-05
10,0.5,6,160.0,0.02709278974831116,0.06358628961223663,0.14155815626718865,0.7102414996558639,20.61450836029218,0.008060799998929724,0.00042210001265630126,6.599992047995329e-06,4.0920008905231954e-05
11,0.5,6,0.001,1226.4550303481828,21.68136450320722,33.8591669908822,0.04259741855083343,-30.29401602692994,0.0066580999991856515,0.0004070000140927732,1.4699995517730713e-05,4.6040001325309274e-05
11,0.5,6,0.01,27.73837994845249,2.976699169329304,4.530026603380238,0.09147384544377496,-11.898091238940879,0.0066580999991856515,0.0004070000140927732,8.899980457499623e-06,4.1959999362006786e-05
11,0.5,6,0.1,0.30140913293217536,0.2961749861947215,0.506969596491081,0.35274002734137216,6.747521932397913,0.0066580999991856515,0.0004070000140927732,7.800001185387373e-06,5.341999931260943e-05
11,0.5,6,1.0,0.032819222742771145,0.08680978345366351,0.16526735062266723,0.6684255010863709,16.833857323899146,0.0066580999991856515,0.0004070000140927732,1.2399978004395962e-05,4.084000247530639e-05
11,0.5,6,5.0,0.03477965904946831,0.08838877973583452,0.17204306617531662,0.6465905150637509,16.67316571695516,0.0066580999991856515,0.0004070000140927732,6.89999433234334e-06,4.107999848201871e-05
11,0.5,6,10.0,0.034317216843867196,0.08720976179949229,0.16990536409615964,0.653004407417783,16.90042659775143,0.0066580999991856515,0.0004070000140927732,6.700021913275123e-06,4.0879996959120035e-05
11,0.5,6,20.0,0.034458365749740746,0.0873903659698628,0.17058390195376982,0.651377700096231,16.855646781569174,0.0066580999991856515,0.0004070000140927732,7.199996616691351e-06,4.08999971114099e-05
11,0.5,6,40.0,0.03466161750222424,0.08734392355141515,0.17092730893647462,0.6499202678871636,16.85332892708792,0.0066580999991856515,0.0004070000140927732,6.699992809444666e-06,4.062000080011785e-05
11,0.5,6,80.0,0.03448011751236731,0.08725981755932824,0.1705504432049721,0.6505285039799278,16.86696075038528,0.0066580999991856515,0.0004070000140927732,6.499991286545992e-06,4.037999315187335e-05
11,0.5,6,160.0,0.034550251287843656,0.08732003369058915,0.17074131745799206,0.6500212580780668,16.85787502114433,0.0066580999991856515,0.0004070000140927732,6.600021151825786e-06,4.045999958179891e-05
